Date,Close,Volume
09/02/2020,131.4,200119000
09/01/2020,134.18,152470100
08/31/2020,129.04,225702700
08/28/2020,124.81,187629920
08/27/2020,125.01,155552400
08/26/2020,126.52,163022280
08/25/2020,124.82,211495800
08/24/2020,125.86,345937760
08/21/2020,124.37,338054640
08/20/2020,118.28,126907200
08/19/2020,115.71,145538000
08/18/2020,115.56,105633560
08/17/2020,114.61,119561440
08/14/2020,114.91,165565200
08/13/2020,115.01,210082080
08/12/2020,113.01,165944840
08/11/2020,109.38,187902360
08/10/2020,112.73,212403440
08/07/2020,111.11,198045600
08/06/2020,113.9,202428920
08/05/2020,110.06,121991960
08/04/2020,109.66,172792360
08/03/2020,108.94,308151400
07/31/2020,106.26,374295480
07/30/2020,96.19,158130040
07/29/2020,95.04,90329240
07/28/2020,93.25,103625520
07/27/2020,94.81,121214200
07/24/2020,92.62,185438880
07/23/2020,92.84,197004440
07/22/2020,97.27,89001640
07/21/2020,97.0,103645840
07/20/2020,98.36,90317920
07/17/2020,96.33,92186920
07/16/2020,96.52,110577680
07/15/2020,97.72,153197920
07/14/2020,97.06,170989360
07/13/2020,95.48,191649160
07/10/2020,95.92,90257320
07/09/2020,95.68,125642600
07/08/2020,95.34,117091880
07/07/2020,93.17,112424440
07/06/2020,93.46,118655640
07/02/2020,91.03,114041480
07/01/2020,91.03,110737240
06/30/2020,91.2,140223280
06/29/2020,90.44,130646080
06/26/2020,88.41,205256840
06/25/2020,91.21,137522520
06/24/2020,90.02,192623400
06/23/2020,91.63,212155480
06/22/2020,89.72,135445280
06/19/2020,87.43,264475800
06/18/2020,87.93,96820400
06/17/2020,87.9,114406520
06/16/2020,88.02,165428720
06/15/2020,85.75,138808920
06/12/2020,84.7,200146040
06/11/2020,83.98,201662440
06/10/2020,88.21,166651760
06/09/2020,86.0,147712360
06/08/2020,83.36,95654520
06/05/2020,82.88,137250200
06/04/2020,80.58,87560360
06/03/2020,81.28,104491200
06/02/2020,80.83,87642800
06/01/2020,80.46,81018600
05/29/2020,79.48,153598120
05/28/2020,79.56,133796400
05/27/2020,79.53,112945080
05/26/2020,79.18,125521800
05/22/2020,79.72,81803000
05/21/2020,79.21,102688840
05/20/2020,79.81,111504880
05/19/2020,78.28,101729560
05/18/2020,78.74,135372520
05/15/2020,76.93,166348360
05/14/2020,77.39,158929080
05/13/2020,76.91,200622560
05/12/2020,77.85,162301040
05/11/2020,78.75,145946240
05/08/2020,77.53,134047960
05/07/2020,75.94,115215040
05/06/2020,75.16,142333760
05/05/2020,74.39,147751200
05/04/2020,73.29,133567960
05/01/2020,72.27,240616720
04/30/2020,73.45,183063880
04/29/2020,71.93,137280800
04/28/2020,69.64,112004760
04/27/2020,70.79,117087560
04/24/2020,70.74,126508720
04/23/2020,68.76,124814320
04/22/2020,69.03,117057360
04/21/2020,67.09,180991560
04/20/2020,69.23,130015000
04/17/2020,70.7,215249920
04/16/2020,71.67,157125160
04/15/2020,71.11,131154560
04/14/2020,71.76,194994680
04/13/2020,68.31,131022920
04/09/2020,67.0,162116480
04/08/2020,66.52,168895280
04/07/2020,64.86,202887320
04/06/2020,65.62,201820280
04/03/2020,60.35,129880080
04/02/2020,61.23,165933960
04/01/2020,60.23,176218560
03/31/2020,63.57,197002000
03/30/2020,63.7,167976440
03/27/2020,61.94,204216600
03/26/2020,64.61,252560680
03/25/2020,61.38,303602040
03/24/2020,61.72,287531080
03/23/2020,56.09,336752840
03/20/2020,57.31,401693200
03/19/2020,61.2,271857040
03/18/2020,61.67,300233640
03/17/2020,63.22,324055880
03/16/2020,60.55,322423480
03/13/2020,69.49,370732120
03/12/2020,62.06,418474000
03/11/2020,68.86,256379880
03/10/2020,71.33,285290080
03/09/2020,66.54,286744840
03/06/2020,72.26,226177000
03/05/2020,73.23,187572880
03/04/2020,75.68,219178280
03/03/2020,72.33,319475400
03/02/2020,74.7,341397360
02/28/2020,68.34,426884800
02/27/2020,68.38,320605520
02/26/2020,73.16,198713720
02/25/2020,72.02,230673440
02/24/2020,74.54,222195320
02/21/2020,78.26,129705680
02/20/2020,80.08,100565960
02/19/2020,80.9,93983960
